PhaseID,C14Age,C14SD,LabID
JAB,9855,70,Ly-10648
AH1,9860,220,OxA-6996
AMA,9870,100,Pta-4577
Ge,9870,80,Pta-4595
HCT,9870,110,BETA-66856
Mf,9870,140,OxA-3747
N,9870,160,Gd-6128
HCT,9890,90,BETA-67463
Mf,9890,120,OxA-3748
AK-BM,9900,200,UCLA-750D
GgI,9900,220,RT-777b
AMA,9920,80,Pta-4552
GgI,9920,70,Pta-4588
MuIII,9921,114,P-1222
HCT,9930,110,BETA-66854
N,9930,230,Gd-4224
Da,9940,180,ISGS-3278
IeDII,9941,72,AA-38145
AK-AK,9950,190,I-1490
GgI,9950,150,RT-777a
GgI,9950,150,RT-777c
MuIII,9950,150,Mc-734
N,9950,100,Gd-5595
IedII,9952,64,AA-38140
IeDII,9959,100,OxA-2567
Da,9960,110,ISGS-2898
JAB,9965,55,Ly-10651
AMA,9970,120,Pta-4568
ASa,9970,150,I-5498
N,9970,170,Gd-6110
NH,9970,150,RT-762C
Da,9984,67,AA-38143
MuIII,9985,115,P-1220
N,9990,140,Gd-6143
AH1,10000,170,OxA-473
Da,10000,68,AA-38144
HCT,10000,80,BETA-67464
HTN,10000,100,OxA-1899
CAIa,10020,240,GrN-19481
Ge,10020,100,Pta-4553
N,10020,80,Gd-5257
MuII,10023,96,P-1215
MuIA,10030,150,Mc-733
Shs11,10030,150,K-981
Da,10031,69,AA-38141
HCT,10040,160,BETA-46647
N,10040,130,Gd-4209
NOTN,10046,318,BM-764
AH1,10050,180,OxA-407
HCT,10050,80,BETA-55049
Da,10059,73,AA-38142
HCT,10060,120,BETA-47211
HCT,10060,90,BETA-66855
N,10070,120,Gd-2970
MuIA,10090,170,Mc-674
MuII,10092,118,P-1216
HTN,10100,160,OxA-2573
N,10100,130,Gd-4208
RH,10100,100,Pta-3286
AMA,10110,100,Pta-2699
QD,10115,95,OxA-3756
N,10130,180,Gd-6111
QD,10145,90,OxA-3752
MuIA,10170,200,Mc-635
N,10180,190,Gd-4210
N,10180,130,Gd-2777
WSh,10220,250,Beta-35080/WS-1
ASa,10230,150,I-5499
ASa,10230,150,I-5500
CAIa,10230,200,GrN-19482
MuIA,10230,170,Mc-731
MuIA,10230,170,Mc-732
MuII,10232,117,P-1217
AH1,10250,160,OxA-408
RH,10250,100,Pta-3288
N,10260,179,Gd-4211
JNat,10300,200,BM-106
RH,10300,100,Pta-3001
HCT,10320,110,BETA-66858
N,10330,150,Gd-2971
MuIA,10350,150,Mc-675
CAIa,10360,150,GrN-10360
N,10370,330,Gd-4475
RH,10380,100,Pta-3284
RH,10390,100,Pta-3285
GD-E,10400,150,Gak-807
MRW,10400,100,RT-1068N/Pta-3687
N,10400,190,Gd-2973
AH1,10420,140,OxA-397
MRE,10430,80,Pta-3483
AH1,10450,180,OxA-435
MuII,10460,200,Lv-606
N,10480,180,Gd-4212
AH1,10490,150,OxA-434
RHo,10490,430,SMU-9
HCT,10500,170,BETA-55051
RH,10500,100,Pta-3009
HCT,10520,190,BETA-67462
MRE,10530,80,Pta-3371
RCnat,10580,140,I-7030
HCT,10590,170,BETA-55052
MuIB,10590,140,Lv-607
MuII,10590,170,Lv-605
AH1,10600,200,OxA-170
AH1,10600,200,OxA-171
SB1,10600,30,WC-667
AH1,10620,150,OxA-471
IeDI,10657,82,AA-38278
AH1,10680,150,OxA-431
N,10700,190,Gd-4478
IeDI,10723,68,AA-38279
AH1,10750,170,OxA-472
IeDI,10785,285,GX-17399
TAH1,10792,82,BM-1121
AH1,10800,160,OxA-386
HCT,10800,220,BETA-46649
JNat,10800,180,GL-70
ZCSB,10800,300,W-681(2)
AH1,10820,160,OxA-470
AGM,10850,610,UCR-1729
ZCSB,10870,300,W-681(1)
RHo,10880,280,SMU-10
AH1,10900,200,OxA-172
N,10900,140,Gd-2714
BEnat,10910,520,AA-1462
AH1,10920,140,OxA-469
AH1,10930,150,OxA-474
S,10930,130,OxA-2136
RCnat,10980,260,I-7032
SIV,11000,140,Pta-3003
AH1,11020,150,OxA-430
AH1,11070,160,OxA-387
AH1,11090,150,OxA-468
JNat,11090,90,BM-1407
N,11090,190,Gd-4469
AH1,11140,140,BM-1718
IeDI,11145,120,GX-17077
KCB,11150,400,UCLA--?
N,11150,560,Gd-4477
S,11150,100,OxA-2869
JNat,11166,107,P-376
IeDI,11175,400,GX-17398
N,11180,90,Gd-5249
J,11200,200,W-665
HTN,11220,110,OxA-2569
J,11240,300,w-657
N,11300,200,Gd-4118
AMIII,11310,880,Ly-1662
AH1,11450,300,OxA-883
EWB2,11475,600,UCLA
Sa,11530,550,RT-505A
AMIII,11590,540,Ly-1660
IsPZ,11590,95,GrN-6415
SIV,11700,140,Pta-3690
HTN,11720,120,OxA-2977
AMIII,11740,570,Ly-1661
HTN,11790,120,OxA-2975
HTN,11790,110,OxA-2572
HTN,11820,120,OxA-2570
AGM,11875,650,UCR-1723
EWB2,11920,660,UCLA-?
HTN,11920,90,SMU-231
WH27,11920,150,OxA-393
WH27,11950,160,OxA-507
QD,11990,100,OxA-3753
HCB,12010,180,OxA-743
J2C,12090,800,SMU-805
BEnat,12130,190,AA-1464
NS23,12200,150,OxA-2137
WH27,12200,160,OxA-394
N,12240,340,Gd-4473
SaIXK,12300,470,Pta-3008
THA,12320,90,ETH-306
HCB,12360,160,OxA-742
SB2,12400,40,WC-179
BEnat,12450,170,AA-1465
ND,12610,130,OxA-892
EWB2,12620,110,Pta-5435
MV,12700,90,Pta-2157
WJ10,12700,300,OxA-918
J2C,12784,650,SMU-803
WJ22C,12840,140,OxA-1772
MXIV1,12900,235,QC-202
BEnat,12910,250,AA-1463
EWB2,12950,200,RT-1368
MV,12990,110,SMU-171
WJ22C,13040,180,OxA-1771
IsPZ,13060,110,GrN-6356
MXVI,13060,220,RT-447c
WJ10,13120,180,OxA-1000
NZ,13170,230,I-5497
MXIV1,13260,200,MC-993
MI,13310,100,SMU-117
WJ8,13310,120,OxA-521
ND,13400,180,OxA-859
WJ22E,13490,110,OxA-2409
NZ,13530,144,SMU-268
WJ22E,13540,120,OxA-2410
